sample	fq1	fq2	condition
H3K9AcDN1rep1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091645_T1.fastq.gz		treatment
H3K9AcDN1rep2	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091645_T2.fastq.gz		treatment
H3K9AcDN1rep3	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091646_T1.fastq.gz		treatment
H3K9AcDN2arep1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091647_T1.fastq.gz		treatment
H3K9AcDN2brep1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091648_T1.fastq.gz		treatment
H3K9AcDN2brep2	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091648_T2.fastq.gz		treatment
H3K9AcDN2brep3	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091649_T1.fastq.gz		treatment
H3K9AcDN2brep4	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091649_T2.fastq.gz		treatment
H3K9AcDN3rep1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091650_T1.fastq.gz		treatment
H3K9AcDN3rep2	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091650_T2.fastq.gz		treatment
H3K9AcDN3rep3	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091651_T1.fastq.gz		treatment
H3K4me2DN1rep1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091654_T1.fastq.gz		treatment
H3K4me2DN1rep2	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091654_T2.fastq.gz		treatment
H3K4me2DN1rep3	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091655_T1.fastq.gz		treatment
H3K4me2DN2arep1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091656_T1.fastq.gz		treatment
H3K4me2DN2brep1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091657_T1.fastq.gz		treatment
H3K4me2DN2brep2	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091657_T2.fastq.gz		treatment
H3K4me2DN2brep3	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091658_T1.fastq.gz		treatment
H3K4me2DN2brep4	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091658_T2.fastq.gz		treatment
H3K4me2DN3rep1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091659_T1.fastq.gz		treatment
H3K4me2DN3rep2	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091659_T2.fastq.gz		treatment
H3K4me2DN3rep3	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091660_T1.fastq.gz		treatment
H3K27me3DN1rep1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091663_T1.fastq.gz		treatment
H3K27me3DN1rep2	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091663_T2.fastq.gz		treatment
H3K27me3DN1rep3	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091663_T3.fastq.gz		treatment
H3K27me3DN1rep4	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091664_T1.fastq.gz		treatment
H3K27me3DN1rep5	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091664_T2.fastq.gz		treatment
H3K27me3DN2arep1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091665_T1.fastq.gz		treatment
H3K27me3DN2brep1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091666_T1.fastq.gz		treatment
H3K27me3DN2brep2	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091666_T2.fastq.gz		treatment
H3K27me3DN2brep3	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091667_T1.fastq.gz		treatment
H3K27me3DN2brep4	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091667_T2.fastq.gz		treatment
H3K27me3DN2brep5	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091668_T1.fastq.gz		treatment
H3K27me3DN2brep6	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091668_T2.fastq.gz		treatment
H3K27me3DN3rep1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091668_T1.fastq.gz		treatment
H3K27me3DN3rep2	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091668_T2.fastq.gz		treatment
H3K27me3DN3rep3	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091668_T3.fastq.gz		treatment
H3K27me3DN3rep4	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091669_T1.fastq.gz		treatment
H3K27me3DN3rep5	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091669_T2.fastq.gz		treatment
PU1DN1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091672_T1.fastq.gz		treatment
PU1DN2a	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091673_T1.fastq.gz		treatment
PU1DN2b	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091674_T1.fastq.gz		treatment
GATADN1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091676_T1.fastq.gz		treatment
GATADN2b	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091677_T1.fastq.gz		treatment
inputDN1	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091679_T1.fastq.gz		control
inputDN2a	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091680_T1.fastq.gz		control
inputDN2b	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091681_T1.fastq.gz		control
inputDN3a	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091682_T1.fastq.gz		control
inputDN3b	/exports/humgen/jihed/Kernfeld_scRNA_thymus/nextflow/results/fastq/SRX091682_T2.fastq.gz		control